dataset,phase,strategy,seed,model,init_size,batch,budget,init_size_pct,budget_pct,batch_pct_of_budget,epc,final_labeled_target,step_type,step,labeled_count,split,train_loss,acc,f1_macro,auc,ap,val_mean,select_metric,is_best,tp,fp,tn,fn
bloodmnist,active,least_confident,9012,bloodmnist-screening_official-least_confident-init1p-batch3pb-epc1-budget10p-9012.pth,120,36,1196,1.0,10.0,3.0,1,1316,cycle,6,336,val,0.2733,0.8067,0.7317,0.8562,0.6524,0.7618,mean,1,-1,-1,-1,-1
bloodmnist,active,least_confident,9012,bloodmnist-screening_official-least_confident-init1p-batch3pb-epc1-budget10p-9012.pth,120,36,1196,1.0,10.0,3.0,1,1316,cycle,7,372,val,0.2513,0.8224,0.783,0.8853,0.7184,0.8023,mean,1,-1,-1,-1,-1
bloodmnist,active,least_confident,9012,bloodmnist-screening_official-least_confident-init1p-batch3pb-epc1-budget10p-9012.pth,120,36,1196,1.0,10.0,3.0,1,1316,cycle,8,408,val,0.2152,0.8084,0.7343,0.8719,0.682,0.7742,mean,0,-1,-1,-1,-1
bloodmnist,active,least_confident,9012,bloodmnist-screening_official-least_confident-init1p-batch3pb-epc1-budget10p-9012.pth,120,36,1196,1.0,10.0,3.0,1,1316,cycle,9,444,val,0.1978,0.8557,0.8148,0.9129,0.7911,0.8436,mean,1,-1,-1,-1,-1
bloodmnist,active,least_confident,9012,bloodmnist-screening_official-least_confident-init1p-batch3pb-epc1-budget10p-9012.pth,120,36,1196,1.0,10.0,3.0,1,1316,cycle,10,480,val,0.1976,0.8183,0.6862,0.9284,0.8312,0.816,mean,0,-1,-1,-1,-1
bloodmnist,active,least_confident,9012,bloodmnist-screening_official-least_confident-init1p-batch3pb-epc1-budget10p-9012.pth,120,36,1196,1.0,10.0,3.0,1,1316,cycle,11,516,val,0.1747,0.7921,0.7709,0.9248,0.7971,0.8212,mean,0,-1,-1,-1,-1
bloodmnist,active,least_confident,9012,bloodmnist-screening_official-least_confident-init1p-batch3pb-epc1-budget10p-9012.pth,120,36,1196,1.0,10.0,3.0,1,1316,cycle,12,552,val,0.2011,0.8738,0.8217,0.942,0.8354,0.8682,mean,1,-1,-1,-1,-1
bloodmnist,active,least_confident,9012,bloodmnist-screening_official-least_confident-init1p-batch3pb-epc1-budget10p-9012.pth,120,36,1196,1.0,10.0,3.0,1,1316,cycle,13,588,val,0.1523,0.882,0.8407,0.9434,0.8641,0.8825,mean,1,-1,-1,-1,-1
bloodmnist,active,least_confident,9012,bloodmnist-screening_official-least_confident-init1p-batch3pb-epc1-budget10p-9012.pth,120,36,1196,1.0,10.0,3.0,1,1316,cycle,14,624,val,0.174,0.8259,0.8006,0.9172,0.7807,0.8311,mean,0,-1,-1,-1,-1
bloodmnist,active,least_confident,9012,bloodmnist-screening_official-least_confident-init1p-batch3pb-epc1-budget10p-9012.pth,120,36,1196,1.0,10.0,3.0,1,1316,cycle,15,660,val,0.1241,0.8435,0.8178,0.9307,0.8334,0.8563,mean,0,-1,-1,-1,-1
bloodmnist,active,least_confident,9012,bloodmnist-screening_official-least_confident-init1p-batch3pb-epc1-budget10p-9012.pth,120,36,1196,1.0,10.0,3.0,1,1316,cycle,16,696,val,0.123,0.8896,0.856,0.9407,0.8648,0.8878,mean,1,-1,-1,-1,-1
bloodmnist,active,least_confident,9012,bloodmnist-screening_official-least_confident-init1p-batch3pb-epc1-budget10p-9012.pth,120,36,1196,1.0,10.0,3.0,1,1316,cycle,17,732,val,0.1524,0.8207,0.7975,0.9305,0.8313,0.845,mean,0,-1,-1,-1,-1
bloodmnist,active,least_confident,9012,bloodmnist-screening_official-least_confident-init1p-batch3pb-epc1-budget10p-9012.pth,120,36,1196,1.0,10.0,3.0,1,1316,cycle,18,768,val,0.1576,0.8861,0.8577,0.944,0.8496,0.8843,mean,0,-1,-1,-1,-1
bloodmnist,active,least_confident,9012,bloodmnist-screening_official-least_confident-init1p-batch3pb-epc1-budget10p-9012.pth,120,36,1196,1.0,10.0,3.0,1,1316,cycle,19,804,val,0.1465,0.9007,0.8724,0.9502,0.8647,0.897,mean,1,-1,-1,-1,-1
bloodmnist,active,least_confident,9012,bloodmnist-screening_official-least_confident-init1p-batch3pb-epc1-budget10p-9012.pth,120,36,1196,1.0,10.0,3.0,1,1316,cycle,20,840,val,0.1473,0.8855,0.8352,0.9558,0.8901,0.8916,mean,0,-1,-1,-1,-1
bloodmnist,active,least_confident,9012,bloodmnist-screening_official-least_confident-init1p-batch3pb-epc1-budget10p-9012.pth,120,36,1196,1.0,10.0,3.0,1,1316,cycle,21,876,val,0.1697,0.8621,0.7894,0.9396,0.8433,0.8586,mean,0,-1,-1,-1,-1
bloodmnist,active,least_confident,9012,bloodmnist-screening_official-least_confident-init1p-batch3pb-epc1-budget10p-9012.pth,120,36,1196,1.0,10.0,3.0,1,1316,cycle,22,912,val,0.1082,0.9083,0.8755,0.95,0.8979,0.9079,mean,1,-1,-1,-1,-1
bloodmnist,active,least_confident,9012,bloodmnist-screening_official-least_confident-init1p-batch3pb-epc1-budget10p-9012.pth,120,36,1196,1.0,10.0,3.0,1,1316,cycle,23,948,val,0.1617,0.9025,0.8753,0.954,0.8971,0.9072,mean,0,-1,-1,-1,-1
bloodmnist,active,least_confident,9012,bloodmnist-screening_official-least_confident-init1p-batch3pb-epc1-budget10p-9012.pth,120,36,1196,1.0,10.0,3.0,1,1316,cycle,24,984,val,0.1444,0.9007,0.8616,0.9633,0.9104,0.909,mean,1,-1,-1,-1,-1
bloodmnist,active,least_confident,9012,bloodmnist-screening_official-least_confident-init1p-batch3pb-epc1-budget10p-9012.pth,120,36,1196,1.0,10.0,3.0,1,1316,cycle,25,1020,val,0.1282,0.8797,0.8554,0.9595,0.9092,0.901,mean,0,-1,-1,-1,-1
